clusterhead_1,clusterhead_2,distance
0,2,181.206457
0,5,405.510868
0,16,509.703106
0,18,621.243449
0,22,214.629688
0,30,209.163499
0,35,457.360680
0,37,593.843902
0,40,294.142047
0,43,390.805153
0,48,722.808161
0,50,383.054551
0,52,422.975059
0,54,502.577302
0,56,612.153143
0,69,864.638387
0,70,504.623197
0,71,540.305838
0,72,584.183625
0,76,724.374753
0,78,843.599419
0,79,910.761195
0,80,569.651079
0,81,598.000318
0,82,633.885700
0,83,674.314039
0,94,791.449076
0,96,859.268514
0,99,1025.939937
2,5,227.612245
2,16,330.193299
2,18,440.066838
2,22,120.000908
2,30,242.068000
2,35,305.317215
2,37,424.893461
2,40,301.338590
2,43,287.567379
2,48,556.811581
2,50,398.752365
2,52,361.772353
2,54,386.708649
2,56,469.226252
2,69,705.925490
2,70,500.173141
2,71,503.181500
2,72,524.573630
2,76,602.286199
2,78,699.574204
2,79,764.932140
2,80,569.045517
2,81,570.411251
2,82,582.992587
2,83,605.782199
2,94,705.804892
2,96,750.155643
2,99,888.966400
5,16,154.905344
5,18,229.822942
5,22,285.429926
5,30,437.935484
5,35,259.374984
5,37,289.851655
5,40,469.485026
5,43,346.841054
5,48,415.877462
5,50,556.175365
5,52,453.527163
5,54,393.273904
5,56,402.350212
5,69,574.966363
5,70,627.252326
5,71,596.535033
5,72,588.360274
5,76,560.066883
5,78,603.907563
5,79,661.023434
5,80,692.484891
5,81,666.123704
5,82,650.354635
5,83,647.887623
5,94,713.874824
5,96,717.439056
5,99,797.034086
16,18,123.627055
16,22,334.810578
16,30,480.109284
16,35,174.376187
16,37,138.388673
16,40,484.525477
16,43,307.970000
16,48,261.039331
16,50,553.734582
16,52,415.199303
16,54,308.258493
16,56,271.887602
16,69,420.167656
16,70,595.672825
16,71,543.423962
16,72,516.384891
16,76,430.705943
16,78,454.097778
16,79,508.846315
16,80,653.938006
16,81,609.597614
16,82,576.199832
16,83,558.348254
16,94,602.122989
16,96,586.421987
16,99,646.034770
18,22,456.753068
18,30,603.467767
18,35,285.006901
18,37,180.513492
18,40,607.630262
18,43,425.370599
18,48,250.738551
18,50,674.532952
18,52,529.934357
18,54,407.916059
18,56,334.775372
18,69,399.189612
18,70,709.453502
18,71,650.364060
18,72,615.049940
18,76,483.380890
18,78,462.958606
18,79,505.776332
18,80,764.757544
18,81,713.904726
18,82,672.263638
18,83,645.154098
18,94,669.158576
18,96,630.576912
18,99,644.177403
22,30,152.968839
22,35,246.479016
22,37,392.353399
22,40,191.187737
22,43,182.511663
22,48,516.430667
22,50,285.855234
22,52,243.598556
22,54,291.371234
22,56,397.655155
22,69,652.902259
22,70,381.506476
22,71,383.457329
22,72,407.747311
22,76,512.788759
22,78,628.982041
22,79,696.183359
22,80,450.318227
22,81,450.454121
22,82,465.040683
22,83,491.558877
22,94,597.615068
22,96,653.084526
22,99,811.811305
30,35,360.939494
30,37,516.353764
30,40,85.338059
30,43,243.181011
30,48,629.130095
30,50,175.783647
30,52,233.412888
30,54,350.861764
30,56,483.729225
30,69,749.074832
30,70,295.667891
30,71,334.215341
30,72,384.751935
30,76,563.720015
30,78,704.677373
30,79,772.259581
30,80,361.452304
30,81,389.523246
30,82,430.051658
30,83,476.515819
30,94,599.909986
30,96,682.327280
30,99,872.854174
35,37,156.275658
35,40,341.744408
35,43,143.395028
35,48,271.263876
35,50,395.770452
35,52,245.030345
35,54,137.859174
35,56,165.094065
35,69,407.294467
35,70,424.483718
35,71,369.108566
35,72,343.707826
35,76,311.136004
35,78,394.267439
35,79,459.697849
35,80,480.806225
35,81,435.256789
35,82,404.400047
35,83,392.822746
35,94,454.626266
35,96,466.839572
35,99,584.411360
37,40,497.352564
37,43,294.927171
37,48,132.895782
37,50,545.812378
37,52,385.954747
37,54,244.713325
37,56,154.263411
37,69,288.829621
37,70,558.412359
37,71,488.813579
37,72,444.964129
37,76,305.652340
37,78,315.718474
37,79,371.272369
37,80,607.298839
37,81,548.132034
37,82,499.432320
37,83,467.454792
37,94,488.907620
37,96,457.276360
37,99,507.930231
40,43,205.598610
40,48,598.653160
40,50,97.944473
40,52,163.105655
40,54,300.551831
40,56,440.524857
40,69,705.783415
40,70,211.996988
40,71,249.565919
40,72,303.383443
40,76,501.323670
40,78,650.937915
40,79,717.815912
40,80,279.031404
40,81,304.189122
40,82,346.184107
40,83,395.420109
40,94,521.252510
40,96,610.253717
40,99,810.602345
43,48,393.135761
43,50,252.432143
43,52,109.154861
43,54,112.513166
43,56,240.584515
43,69,506.168828
43,70,289.007258
43,71,249.697936
43,72,248.096746
43,76,333.797687
43,78,463.663349
43,79,531.387001
43,80,350.331060
43,81,319.296664
43,82,309.620514
43,83,321.642540
43,94,418.309315
43,96,470.727399
43,99,638.537191
48,50,632.412260
48,52,465.652099
48,54,312.390141
48,56,175.815076
48,69,159.141678
48,70,621.945427
48,71,540.006785
48,72,481.561991
48,76,270.186872
48,78,212.742959
48,79,256.077412
48,80,660.464611
48,81,589.306893
48,82,526.328754
48,83,478.486261
48,94,463.317637
48,96,397.573907
48,99,394.789307
50,52,167.526489
50,54,321.228102
50,56,463.167814
50,69,721.670956
50,70,124.103479
50,71,187.643290
50,72,256.331534
50,76,492.493430
50,78,652.843048
50,79,717.507752
50,80,186.718437
50,81,227.563630
50,82,285.250007
50,83,345.371045
50,94,475.930882
50,96,579.764735
50,99,796.290071
52,54,153.780361
52,56,295.645960
52,69,555.540843
52,70,180.506683
52,71,145.852745
52,72,164.864932
52,76,338.795744
52,78,492.218070
52,79,558.335042
52,80,241.187786
52,81,215.525209
