event_type,timestamp,node_id,node_addr,packet_id,source,dest,data_value,next_hop,routing_option,previous_hop
SEND,622.587893,44,"[3,1]",44_12,"[3,1]","[33,1]",20.912887,,,
ROUTE,622.587893,44,"[3,1]",44_12,"[3,1]","[33,1]",20.912887,"[3,254]",Up Tree,44
SEND,693.525523,1,"[12,3]",1_0,"[12,3]","[25,1]",29.358192,,,
ROUTE,693.525523,1,"[12,3]",1_0,"[12,3]","[25,1]",29.358192,"[12,254]",Up Tree,1
ROUTE,693.525618,2,"[12,2]",1_0,"[12,3]","[25,1]",29.358192,"[6,3]",Up Tree,2
ROUTE,693.525698,13,"[6,3]",1_0,"[12,3]","[25,1]",29.358192,"[6,254]",Cluster Routing Router Gateway,2
ROUTE,693.525798,22,"[6,1]",1_0,"[12,3]","[25,1]",29.358192,"[1,4]",Up Tree,22
ROUTE,693.525893,23,"[1,4]",1_0,"[12,3]","[25,1]",29.358192,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,693.525981,24,"[1,1]",1_0,"[12,3]","[25,1]",29.358192,"[1,3]",Down Tree,24
ROUTE,693.526094,26,"[1,3]",1_0,"[12,3]","[25,1]",29.358192,"[2,1]",Cluster Routing Router Gateway 2,24
ROUTE,693.526211,37,"[2,1]",1_0,"[12,3]","[25,1]",29.358192,"[2,5]",Down Tree,37
ROUTE,693.526308,38,"[2,5]",1_0,"[12,3]","[25,1]",29.358192,"[10,1]",Cluster Routing Router Gateway 2,37
ROUTE,693.526411,48,"[10,1]",1_0,"[12,3]","[25,1]",29.358192,"[10,3]",Down Tree,48
ROUTE,693.526498,59,"[10,3]",1_0,"[12,3]","[25,1]",29.358192,"[17,1]",Cluster Routing Router Gateway 2,48
ROUTE,693.526572,69,"[17,1]",1_0,"[12,3]","[25,1]",29.358192,"[25,254]",Cluster Routing Cluster,69
ROUTE,693.526690,79,"[17,4]",1_0,"[12,3]","[25,1]",29.358192,"[25,1]",Cluster Routing Cluster,79
RECEIVE,693.526807,98,"[25,1]",1_0,"[12,3]","[25,1]",29.358192,,,79
SEND,697.652008,36,"[3,8]",36_2,"[3,8]","[3,1]",33.964672,,,
ROUTE,697.652008,36,"[3,8]",36_2,"[3,8]","[3,1]",33.964672,"[3,2]",Cluster Routing Cluster,36
SEND,704.330119,10,"[18,2]",10_0,"[18,2]","[3,2]",46.366296,,,
SEND,726.589419,8,"[5,4]",8_0,"[5,4]","[6,7]",47.509376,,,
ROUTE,726.589419,8,"[5,4]",8_0,"[5,4]","[6,7]",47.509376,"[5,254]",Up Tree,8
ROUTE,726.589468,18,"[5,2]",8_0,"[5,4]","[6,7]",47.509376,"[2,4]",Up Tree,18
ROUTE,726.589552,28,"[2,4]",8_0,"[5,4]","[6,7]",47.509376,"[2,254]",Cluster Routing Router Gateway,18
ROUTE,726.589666,37,"[2,1]",8_0,"[5,4]","[6,7]",47.509376,"[1,3]",Up Tree,37
ROUTE,726.589783,26,"[1,3]",8_0,"[5,4]","[6,7]",47.509376,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,726.589895,24,"[1,1]",8_0,"[5,4]","[6,7]",47.509376,"[1,4]",Cluster Routing Cluster,24
ROUTE,726.589984,23,"[1,4]",8_0,"[5,4]","[6,7]",47.509376,"[6,7]",Cluster Routing Cluster,23
RECEIVE,726.590096,12,"[6,7]",8_0,"[5,4]","[6,7]",47.509376,,,23
SEND,764.073535,51,"[14,3]",51_0,"[14,3]","[29,3]",23.606624,,,
ROUTE,764.073535,51,"[14,3]",51_0,"[14,3]","[29,3]",23.606624,"[14,254]",Up Tree,51
ROUTE,764.073616,40,"[14,2]",51_0,"[14,3]","[29,3]",23.606624,"[6,4]",Up Tree,40
ROUTE,764.073708,31,"[6,4]",51_0,"[14,3]","[29,3]",23.606624,"[6,254]",Cluster Routing Router Gateway,40
ROUTE,764.073807,22,"[6,1]",51_0,"[14,3]","[29,3]",23.606624,"[1,4]",Up Tree,22
ROUTE,764.073901,23,"[1,4]",51_0,"[14,3]","[29,3]",23.606624,"[1,254]",Cluster Routing Router Gateway,22
ROUTE,764.073990,24,"[1,1]",51_0,"[14,3]","[29,3]",23.606624,"[1,3]",Down Tree,24
ROUTE,764.074102,26,"[1,3]",51_0,"[14,3]","[29,3]",23.606624,"[2,1]",Cluster Routing Router Gateway 2,24
ROUTE,764.074219,37,"[2,1]",51_0,"[14,3]","[29,3]",23.606624,"[2,5]",Down Tree,37
ROUTE,764.074317,38,"[2,5]",51_0,"[14,3]","[29,3]",23.606624,"[10,1]",Cluster Routing Router Gateway 2,37
ROUTE,764.074420,48,"[10,1]",51_0,"[14,3]","[29,3]",23.606624,"[10,3]",Down Tree,48
ROUTE,764.074507,59,"[10,3]",51_0,"[14,3]","[29,3]",23.606624,"[17,1]",Cluster Routing Router Gateway 2,48
ROUTE,764.074580,69,"[17,1]",51_0,"[14,3]","[29,3]",23.606624,"[17,3]",Down Tree,69
ROUTE,764.074696,78,"[17,3]",51_0,"[14,3]","[29,3]",23.606624,"[24,3]",Cluster Routing Cluster,78
ROUTE,764.074796,87,"[24,3]",51_0,"[14,3]","[29,3]",23.606624,"[29,3]",Cluster Routing Cluster,87
RECEIVE,764.074886,86,"[29,3]",51_0,"[14,3]","[29,3]",23.606624,,,87
SEND,774.765962,17,"[5,3]",17_3,"[5,3]","[31,2]",34.562436,,,
SEND,779.608117,45,"[3,2]",45_5,"[3,2]","[18,2]",44.085167,,,
ROUTE,779.608117,45,"[3,2]",45_5,"[3,2]","[18,2]",44.085167,"[3,254]",Up Tree,45
SEND,801.332763,58,"[10,5]",58_0,"[10,5]","[6,7]",20.156429,,,
ROUTE,801.332763,58,"[10,5]",58_0,"[10,5]","[6,7]",20.156429,"[10,254]",Up Tree,58
ROUTE,801.332822,48,"[10,1]",58_0,"[10,5]","[6,7]",20.156429,"[2,5]",Up Tree,48
ROUTE,801.332924,38,"[2,5]",58_0,"[10,5]","[6,7]",20.156429,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,801.333022,37,"[2,1]",58_0,"[10,5]","[6,7]",20.156429,"[1,3]",Up Tree,37
ROUTE,801.333139,26,"[1,3]",58_0,"[10,5]","[6,7]",20.156429,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,801.333251,24,"[1,1]",58_0,"[10,5]","[6,7]",20.156429,"[1,4]",Cluster Routing Cluster,24
ROUTE,801.333340,23,"[1,4]",58_0,"[10,5]","[6,7]",20.156429,"[6,7]",Cluster Routing Cluster,23
RECEIVE,801.333451,12,"[6,7]",58_0,"[10,5]","[6,7]",20.156429,,,23
SEND,808.526902,89,"[24,2]",89_0,"[24,2]","[5,4]",15.209075,,,
ROUTE,808.526902,89,"[24,2]",89_0,"[24,2]","[5,4]",15.209075,"[24,254]",Up Tree,89
ROUTE,808.527021,78,"[17,3]",89_0,"[24,2]","[5,4]",15.209075,"[17,254]",Up Tree,78
ROUTE,808.527137,69,"[17,1]",89_0,"[24,2]","[5,4]",15.209075,"[10,3]",Up Tree,69
ROUTE,808.527210,59,"[10,3]",89_0,"[24,2]","[5,4]",15.209075,"[10,254]",Cluster Routing Router Gateway,69
ROUTE,808.527297,48,"[10,1]",89_0,"[24,2]","[5,4]",15.209075,"[2,5]",Up Tree,48
ROUTE,808.527400,38,"[2,5]",89_0,"[24,2]","[5,4]",15.209075,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,808.527497,37,"[2,1]",89_0,"[24,2]","[5,4]",15.209075,"[2,4]",Down Tree,37
ROUTE,808.527611,28,"[2,4]",89_0,"[24,2]","[5,4]",15.209075,"[5,1]",Cluster Routing Cluster,28
SEND,808.736413,15,"[19,2]",15_0,"[19,2]","[10,5]",36.333161,,,
SEND,809.401087,49,"[10,2]",49_0,"[10,2]","[6,7]",21.501221,,,
ROUTE,809.401087,49,"[10,2]",49_0,"[10,2]","[6,7]",21.501221,"[10,254]",Up Tree,49
ROUTE,809.401144,48,"[10,1]",49_0,"[10,2]","[6,7]",21.501221,"[2,5]",Up Tree,48
ROUTE,809.401246,38,"[2,5]",49_0,"[10,2]","[6,7]",21.501221,"[2,254]",Cluster Routing Router Gateway,48
ROUTE,809.401344,37,"[2,1]",49_0,"[10,2]","[6,7]",21.501221,"[1,3]",Up Tree,37
ROUTE,809.401461,26,"[1,3]",49_0,"[10,2]","[6,7]",21.501221,"[1,254]",Cluster Routing Router Gateway,37
ROUTE,809.401573,24,"[1,1]",49_0,"[10,2]","[6,7]",21.501221,"[1,4]",Cluster Routing Cluster,24
ROUTE,809.401662,23,"[1,4]",49_0,"[10,2]","[6,7]",21.501221,"[6,7]",Cluster Routing Cluster,23
RECEIVE,809.401774,12,"[6,7]",49_0,"[10,2]","[6,7]",21.501221,,,23
SEND,822.494368,75,"[31,3]",75_0,"[31,3]","[3,10]",11.657832,,,
ROUTE,822.494368,75,"[31,3]",75_0,"[31,3]","[3,10]",11.657832,"[31,254]",Up Tree,75
ROUTE,822.494412,76,"[31,1]",75_0,"[31,3]","[3,10]",11.657832,"[24,5]",Up Tree,76
ROUTE,822.494502,77,"[24,5]",75_0,"[31,3]","[3,10]",11.657832,"[24,254]",Cluster Routing Router Gateway,76
ROUTE,822.494583,78,"[17,3]",75_0,"[31,3]","[3,10]",11.657832,"[17,254]",Up Tree,78
ROUTE,822.494698,69,"[17,1]",75_0,"[31,3]","[3,10]",11.657832,"[10,3]",Up Tree,69
ROUTE,822.494772,59,"[10,3]",75_0,"[31,3]","[3,10]",11.657832,"[10,254]",Cluster Routing Router Gateway,69
ROUTE,822.494859,48,"[10,1]",75_0,"[31,3]","[3,10]",11.657832,"[2,5]",Up Tree,48
ROUTE,822.494962,38,"[2,5]",75_0,"[31,3]","[3,10]",11.657832,"[2,254]",Cluster Routing Router Gateway,48
