node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
0,1,86.924397,REGISTERED,5,4979.312481950273
0,11,114.266992,ROUTER,3,4897.458500155675
0,10,81.623310,REGISTERED,4,4959.31219998072
0,21,169.439608,ROUTER,,339.31147797094644
0,20,135.534103,REGISTERED,,359.31214593909266
0,22,215.460318,CLUSTER_HEAD,,177.45838588868344
0,2,181.561891,CLUSTER_HEAD,,361.20670113880664
0,12,209.403920,REGISTERED,,395.57771173050145
1,10,87.393479,REGISTERED,4,4959.312205750888
1,2,94.637494,CLUSTER_HEAD,4,4961.206701138806
1,12,112.516660,REGISTERED,3,4895.577729110233
1,11,77.178793,ROUTER,3,4897.458463067476
1,20,141.304272,REGISTERED,,359.31214593909266
1,21,224.954807,ROUTER,,339.31150259279553
1,3,214.796236,REGISTERED,,361.20669224691346
2,13,80.230942,ROUTER,3,4941.206029502499
2,3,78.019994,REGISTERED,4,4961.206667987332
2,23,157.752688,ROUTER,,160.5994246950085
2,22,120.000908,CLUSTER_HEAD,2,4919.3112826394145
2,14,190.089175,ROUTER,,333.122836279328
2,12,53.340141,REGISTERED,3,4895.577669933714
2,11,116.535786,ROUTER,3,4897.45850242447
2,4,168.213386,ROUTER,,302.3527057510735
2,21,165.778288,ROUTER,,339.31150259279553
2,10,182.030973,REGISTERED,,359.3122057508888
3,13,63.696968,ROUTER,3,4941.206012968524
3,12,102.279575,REGISTERED,3,4895.577718873148
3,4,51.846483,ROUTER,2,4902.352669615113
3,22,164.216281,CLUSTER_HEAD,,319.3112631578212
3,14,173.555201,ROUTER,,333.122836279328
3,11,194.555781,ROUTER,,297.4585024244697
3,15,159.392210,REGISTERED,,303.17908072342175
3,5,153.233059,CLUSTER_HEAD,,304.19983914729113
3,21,214.717722,ROUTER,,339.31150259279553
4,14,85.537593,ROUTER,1,4933.122811958688
4,13,87.982444,ROUTER,3,4941.206037254001
4,15,107.545727,REGISTERED,2,4903.179080723421
4,5,101.386576,CLUSTER_HEAD,3,4904.199839147291
4,24,136.432517,ROOT,,211.10005089492378
4,23,165.504189,ROUTER,,399.3107802547508
4,25,168.649396,REGISTERED,,391.0884013393505
4,22,188.501758,CLUSTER_HEAD,,319.3112631578212
4,12,152.386681,REGISTERED,,395.57768099781134
4,6,173.710294,REGISTERED,,374.1992621225284
4,26,206.363107,ROUTER,,333.12300957116366
5,6,72.323718,REGISTERED,6,4974.199262122528
5,15,115.439857,REGISTERED,2,4903.179088617551
5,14,186.924170,CLUSTER_HEAD,,202.35261776862984
5,7,150.596896,ROUTER,,354.1979937645153
5,16,166.078631,CLUSTER_HEAD,,375.5394717737771
5,26,214.257237,ROUTER,,333.12300957116366
5,25,176.543527,REGISTERED,,391.0884013393505
6,7,78.273179,ROUTER,5,4954.197993764516
6,16,93.754914,CLUSTER_HEAD,6,4975.539471773776
6,15,117.122428,REGISTERED,2,4903.179090300122
6,18,170.350874,CLUSTER_HEAD,,307.4353490570755
6,8,135.864848,REGISTERED,,344.94742903339335
6,17,160.357764,REGISTERED,,312.82713142198287
6,36,206.278712,REGISTERED,,356.95696583320677
6,24,175.110590,ROOT,,311.10005798816195
6,14,150.149932,ROUTER,,333.12275944859897
6,26,215.939807,ROUTER,,333.12300957116366
6,25,178.226097,REGISTERED,,391.0884013393505
7,17,91.576508,REGISTERED,4,4912.8271563956405
7,18,92.077695,CLUSTER_HEAD,4,4907.435349057075
7,8,57.591669,REGISTERED,5,4944.947429033393
7,16,105.704673,CLUSTER_HEAD,6,4975.539483723536
7,19,208.672861,REGISTERED,,307.43536761189966
7,26,169.977869,ROUTER,,333.1229750269794
7,9,157.015747,REGISTERED,,327.4356633938327
7,15,195.395606,REGISTERED,,303.1790903001225
7,29,206.702207,REGISTERED,,341.6572263549937
7,36,218.228471,REGISTERED,,356.95696583320677
7,27,194.994808,REGISTERED,,279.09360181738884
7,25,199.707762,REGISTERED,,291.08843423877005
8,18,48.422495,CLUSTER_HEAD,4,4907.435305401875
8,17,85.506311,REGISTERED,4,4912.827150325444
8,19,111.227910,REGISTERED,4,4907.435361743457
8,9,99.424078,REGISTERED,5,4927.435663393832
8,28,189.161759,ROUTER,,287.4344081106656
8,26,204.975567,ROUTER,,333.1230302230398
