node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.000000,86.924397,181.206457,258.026654,309.720562,405.510868,468.884685,546.793028,603.282678,700.009049,81.623310,114.266992,190.177428,250.935715,360.450411,393.177598,509.703106,574.077242,621.243449,689.813694,130.713289,168.443998,214.629688,297.302927,375.617714,439.375965,484.982033,587.799988,643.384563,718.111442,209.163499,241.734983,275.450715,330.359441,407.717913,457.360680,532.739498,593.843902,676.348999,751.756315,294.142047,322.375715,352.966102,390.805153,438.326491,502.762129,589.545676,647.215659,722.808161,778.314766,383.054551,358.843926,422.975059,481.303277,502.577302,562.848085,612.153143,665.575527,721.958205,804.157920,436.709726,438.500780,506.705265,506.235213,538.491498,618.874281,665.038080,747.704625,798.377794,864.638387,504.623197,540.305838,584.183625,580.340924,645.555190,683.987212,724.374753,796.871114,843.599419,910.761195,569.651079,598.000318,633.885700,674.314039,712.533373,753.091992,783.771714,862.327896,927.415645,958.780360,666.665787,660.524929,719.427773,735.096155,791.449076,802.199493,859.268514,923.765460,953.855239,1025.939937
1,86.924397,0.000000,94.637494,171.102591,222.812254,318.917958,381.960620,459.876595,516.360847,613.124368,87.393479,77.178793,112.516660,168.148853,276.343058,308.718363,424.382821,488.208568,534.646882,603.551532,136.626242,139.720864,155.265513,223.809933,295.658828,357.490622,402.599209,504.149646,558.653073,632.650701,212.131680,214.849096,221.444572,270.572844,334.946259,384.442292,453.436455,513.961828,593.671960,669.295171,289.178365,295.067661,309.446736,337.773530,373.495512,435.526048,514.403751,572.256376,644.588793,699.456880,385.670003,338.795588,389.656943,433.221700,445.977841,501.894027,544.337911,593.792762,647.305526,727.556206,431.987453,419.385363,475.254476,463.227509,488.474506,562.118971,602.009421,678.611726,729.337753,790.182980,499.946894,520.510139,554.374442,545.407441,599.643733,628.320590,666.734302,734.322500,776.134685,842.592316,567.791595,583.509623,608.732696,641.247924,668.731891,705.124681,727.113866,801.875720,863.669284,892.953056,663.996445,643.920940,694.252202,702.177598,751.184602,758.120973,808.308889,867.483235,892.595881,962.246245
2,181.206457,94.637494,0.000000,78.019994,129.036882,227.612245,288.260027,366.403742,422.514449,519.871615,155.238244,116.535786,53.340141,80.230942,183.699181,215.503022,330.193299,393.684714,440.066838,508.916644,185.768041,154.204250,120.000908,150.315535,208.484301,267.001632,311.265586,411.239555,464.788224,538.290741,242.068000,212.079163,180.651721,215.440464,257.211314,305.317215,365.358983,424.893461,501.513184,577.225339,301.338590,281.259598,273.886031,287.567379,305.625084,362.839751,430.791508,488.437176,556.811581,610.851128,398.752365,329.890370,361.772353,385.139322,386.708649,435.848559,469.226252,513.496210,563.407031,641.222886,434.849739,406.746664,445.917161,420.401270,436.283907,500.143584,531.953628,600.803395,651.276126,705.925490,500.173141,503.181500,524.573630,509.856601,549.967459,566.658600,602.286199,663.580689,699.574204,764.932140,569.045517,570.411251,582.992587,605.782199,620.392151,651.465753,663.186679,733.026503,790.777260,817.635671,662.177006,627.095486,666.850498,665.854945,705.804892,708.304297,750.155643,802.883111,822.306441,888.966400
3,258.026654,171.102591,78.019994,0.000000,51.846483,149.719726,210.858047,288.818964,345.261326,442.173047,231.564260,189.840173,102.279575,63.696968,122.459427,150.566927,259.368314,320.701472,364.567150,434.419012,256.476677,214.674395,157.734704,136.726224,160.493830,208.212597,249.276836,344.014927,394.467141,465.860914,302.274960,256.704715,200.351130,215.376785,222.982350,266.182946,309.155840,365.870336,435.525811,511.061550,348.909934,312.547900,287.802809,286.097158,282.374662,330.616071,380.990356,437.418420,498.761691,551.037455,443.173711,361.950092,377.162464,380.570716,370.065843,409.702417,430.877596,467.312586,511.407459,584.901769,471.364296,432.745154,456.829909,419.724474,425.629435,477.147626,498.858983,556.935589,606.571299,652.314540,533.166503,522.632036,532.965395,513.429144,539.050841,542.729072,574.668384,627.884209,656.386544,719.865742,601.425083,591.823099,593.708292,607.465267,609.562535,634.790838,635.354391,698.876020,751.413913,775.160133,690.850898,644.519214,674.753539,665.806120,696.683629,694.790738,727.635467,772.940311,785.788600,848.534836
4,309.720562,222.812254,129.036882,51.846483,0.000000,101.386576,159.251290,237.367139,293.589112,390.840753,280.024997,236.620766,144.114542,87.982444,85.537593,107.545727,209.708397,269.757043,312.795101,382.845279,300.750743,253.843944,188.458541,139.887062,132.494959,168.073159,205.638059,295.979535,344.592695,414.954986,339.308535,285.580082,217.575759,219.013667,201.646697,239.162974,268.635361,322.780577,387.810859,463.037676,377.229269,331.558491,296.677440,284.935518,266.299368,306.643706,343.868838,398.899872,455.415890,506.436784,468.020615,380.189736,384.297958,374.396367,355.948765,388.286723,400.854948,431.686245,471.725340,542.231416,490.659609,445.713086,459.482071,415.331040,414.432589,456.848229,471.563015,522.123768,570.936531,611.019382,549.423198,530.020557,532.893275,510.396249,526.067747,521.063921,550.280105,597.862165,621.456017,683.507450,616.639882,599.787630,594.533699,602.159215,595.944415,617.111171,610.369693,669.451012,718.468789,740.200955,702.914828,649.369970,673.026106,658.866613,683.530790,678.763831,705.537370,745.849652,754.491250,814.601943
5,405.510868,318.917958,227.612245,149.719726,101.386576,0.000000,72.323718,144.561800,202.142936,295.660210,380.830792,337.888054,245.385228,186.592753,122.919659,115.439857,154.905344,199.401281,229.822942,302.008704,402.054464,353.913944,285.429926,219.463984,170.086757,164.902313,182.340730,243.407905,279.136690,340.289578,437.935484,379.486210,303.944090,291.327494,238.363156,259.374984,248.955720,289.851655,332.632044,404.333272,469.485026,415.940991,370.991660,346.841054,305.780306,327.443791,329.233573,377.285979,415.877462,461.008487,556.175365,462.757119,453.527163,424.530778,393.273904,409.843510,402.350212,417.194866,443.902382,502.911227,572.721282,520.987361,520.588615,466.873671,454.553356,478.055343,476.910463,507.052388,552.457165,574.966363,627.252326,596.535033,588.360274,561.627994,559.670609,537.508758,560.066883,593.422198,603.907563,661.023434,692.484891,666.123704,650.354635,647.887623,626.864329,639.687329,617.521575,665.168575,704.636682,720.770506,773.859661,710.587300,723.678520,700.901677,713.874824,703.605092,717.439056,745.997702,744.373498,797.034086
6,468.884685,381.960620,288.260027,210.858047,159.251290,72.323718,0.000000,78.273179,134.420399,231.796290,436.863087,392.009544,297.166383,234.029149,141.167708,117.122428,93.754914,128.176380,158.077099,230.076840,452.120940,399.244793,326.200334,246.125347,174.213590,140.920077,139.805009,177.611916,208.157808,267.966856,478.652595,413.298906,331.309657,306.477848,230.935746,237.976059,201.438517,232.137613,263.991841,334.086201,499.322784,437.482755,384.075965,350.337345,294.442060,301.451480,280.271776,322.769369,352.007542,394.388095,579.464158,481.281002,459.436676,415.536838,375.821082,380.692060,360.461422,365.542667,384.856800,438.194167,588.789878,530.986700,517.870260,457.692711,437.052948,446.654745,435.401722,453.390505,496.466222,510.962161,638.146837,597.115560,579.693195,550.051927,535.000820,501.702916,519.686027,544.277565,547.829704,602.145823,700.616083,665.573776,641.031695,630.655872,599.210156,606.234462,574.715182,615.330241,649.534501,662.891188,776.419131,705.026708,709.304966,680.217427,684.720520,670.863504,676.365298,697.875255,690.839861,739.580812
7,546.793028,459.876595,366.403742,288.818964,237.367139,144.561800,78.273179,0.000000,57.591669,153.530575,515.009731,469.999582,375.029613,311.521210,213.490960,185.160328,105.704673,91.576508,92.077695,163.148814,529.336940,475.445847,401.480994,317.512673,238.132016,189.423884,169.251115,156.323127,163.038589,206.682851,553.053289,485.357880,401.420280,370.863895,283.704771,278.627040,214.664904,224.589568,226.063080,287.354384,568.922610,503.255237,445.617127,406.258651,340.863803,333.814404,284.615163,315.523653,324.336073,358.398288,644.992906,544.814465,514.904831,460.083297,413.779069,406.410312,371.184401,361.439516,366.711350,406.226322,649.790274,588.423974,565.809844,501.169026,473.309573,467.884720,444.210411,443.303005,481.383155,479.433428,695.223963,646.752025,621.681230,589.802919,561.931977,516.361325,528.085651,539.676814,531.699617,580.099905,755.216307,713.622703,681.707631,663.912531,621.844798,621.998320,578.858173,608.582269,633.762445,642.030950,826.175912,748.456694,744.539501,709.393372,704.572968,686.653264,681.499271,692.769040,677.278373,718.787641
8,603.282678,516.360847,422.514449,345.261326,293.589112,202.142936,134.420399,57.591669,0.000000,99.424078,569.492638,524.050651,428.923332,364.908309,262.765445,232.316872,132.065275,85.506311,48.422495,111.227910,581.795819,526.552641,451.725294,364.594642,281.019037,224.870973,195.031909,147.733449,132.103033,158.079831,601.807631,531.906318,446.653178,411.648470,317.704557,304.515356,225.459413,219.397010,196.356871,247.928783,612.753393,543.994257,483.311250,440.035206,368.873559,352.009206,284.601961,305.540532,298.520294,325.364233,684.778589,583.372538,547.094263,484.501051,434.074607,417.908326,372.625524,352.233617,346.868073,375.208792,685.605959,621.621675,591.621549,524.234996,491.334864,474.878852,442.506831,427.702885,461.457675,447.611816,727.507903,673.265794,642.389232,609.072552,571.812434,517.733268,524.675340,526.571242,510.308103,553.916447,785.157591,738.452372,700.939300,677.572806,627.869599,622.906868,571.667167,593.117700,611.558641,616.137256,851.828452,769.421338,759.141004,719.600525,707.795275,686.991854,674.018696,677.741459,656.295430,692.389756
9,700.009049,613.124368,519.871615,442.173047,390.840753,295.660210,231.796290,153.530575,99.424078,0.000000,668.256026,623.011901,527.924250,464.053174,362.112716,331.407112,225.749542,166.514061,106.552404,100.349399,681.171469,625.967300,551.083142,463.375372,378.649394,319.744331,285.235516,212.762982,168.968097,143.172724,700.830056,630.276204,544.639407,507.602857,410.313390,391.496149,302.344826,279.463655,221.667229,244.778270,709.791571,639.434865,577.036408,531.261853,456.390547,431.096382,346.337510,352.744828,320.061754,330.409913,779.244618,677.278278,636.334324,567.356502,513.605173,488.394964,432.289492,398.114800,376.064358,381.663164,777.156477,711.301673,674.824571,605.346963,567.668408,538.791525,495.820464,460.496863,485.695159,449.276705,815.969919,756.611478,719.977762,685.393949,637.663866,573.485736,573.598843,560.576683,530.468662,563.949075,871.273652,819.743026,776.461663,746.829812,688.071896,676.249412,614.038203,621.765386,627.916115,625.407718,933.445201,846.421047,828.861929,784.209887,763.286443,738.687812,714.266375,705.677352,674.093008,699.366953
