timestamp,node_id,node_addr,node_role,message
5.425252,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 62, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 5.4251761839221935} dest: [255,255] package type: PROBE"
5.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 5.540083721137145} dest: [255,255] package type: PROBE"
6.425252,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 62, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 6.4251761839221935} dest: [255,255] package type: PROBE"
6.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 6.540083721137145} dest: [255,255] package type: PROBE"
7.425252,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 62, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 7.4251761839221935} dest: [255,255] package type: PROBE"
7.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 7.540083721137145} dest: [255,255] package type: PROBE"
8.425252,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 62, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 8.425176183922193} dest: [255,255] package type: PROBE"
8.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 8.540083721137144} dest: [255,255] package type: PROBE"
9.425252,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 62, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 9.425176183922193} dest: [255,255] package type: PROBE"
9.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 9.540083721137144} dest: [255,255] package type: PROBE"
10.425252,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 62, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 10.425176183922193} dest: [255,255] package type: PROBE"
